domain,value_score,quality_score,growth_score,risk_score,fit_score,speed_score,winner
jobs,0.5318728630475158,1.0,0.9230769230769234,0.6666666666666667,0.5,0.0,1
cities,0.4121561167359414,0.7998978266621226,0.8094817140574908,0.2702104685407149,0.8519812304700969,0.679377445249602,1
products,0.07188776978505622,0.6774193548387097,0.3329771521216388,0.999844,0.000156,0.08442560361267326,0
jobs,0.2615694061616159,0.6923076923076923,0.6153846153846154,1.0,0.5,0.4999999999999999,1
products,0.09855286340405106,1.0,0.34119891389310864,0.999826,0.000174,0.09249181582415714,1
products,0.4486237432087697,1.0,0.5454607670486031,0.997434,0.002566,0.4216022164903288,1
products,0.015057576309107241,0.7419354838709679,0.05282181684664835,0.999998,2e-06,0.016773282120701075,0
jobs,0.016607540568381197,0.6410256410256411,0.0,0.6666666666666667,0.5,0.4999999999999999,0
jobs,0.09463857727451379,0.8205128205128205,0.0,0.0,0.5,0.0,0
cities,0.6691219385994592,0.4921082982707053,0.6002590358530182,0.6041699514401363,0.5617668356119694,0.29193713304878866,1
products,0.01896026398618164,0.5806451612903226,0.4056440912935575,0.999592,0.000408,0.0240772514381358,0
education,0.002927481734785297,0.5922222222222222,0.4444444444444444,0.142761841227485,0.6577777777777778,0.5755555555555555,1
education,1.4287422207449416e-05,0.0,0.025555555555555564,0.8258839226150767,0.012222222222222218,0.02333333333333333,0
jobs,0.16255866584806347,0.8205128205128205,0.7692307692307694,1.0,0.5,1.0,1
jobs,0.20509092403687826,0.7692307692307692,0.30769230769230776,0.0,0.5,0.4999999999999999,0
products,0.11833190914161121,1.0,0.3843381106888239,0.999692,0.000308,0.11108659203380408,1
jobs,0.12552885961554763,0.358974358974359,0.30769230769230776,0.6666666666666667,0.5,0.4999999999999999,0
jobs,0.1723896105897796,0.8974358974358974,0.6153846153846154,1.0,0.5,1.0,1
products,0.0987451075324977,0.9354838709677419,0.5471627765118781,0.997376,0.002624,0.09655832001015792,1
products,0.011987318064900974,0.8709677419354838,0.35465864699758953,0.999792,0.000208,0.012126363681966517,1
jobs,0.4515863861837593,0.5384615384615385,0.9230769230769234,0.6666666666666667,0.5,0.4999999999999999,1
jobs,0.7641600797367455,0.5897435897435898,1.0,0.6666666666666667,0.5,1.0,1
products,0.0021666740325304835,0.7419354838709679,0.6386741210206018,0.991276,0.008724,0.002345829683343556,0
jobs,0.15680189888538099,0.9230769230769231,0.30769230769230776,0.3333333333333335,0.5,0.0,0
products,0.03331336682613375,1.0,0.12264846055922737,0.999992,8e-06,0.03115853134761068,1
jobs,0.2948127445213098,0.5384615384615385,0.6153846153846154,0.6666666666666667,0.5,0.4999999999999999,0
education,0.00097364692328858,0.36888888888888893,0.31333333333333335,0.2808539026017345,0.15666666666666668,0.2922222222222222,1
cities,0.6437540562209945,0.35480010246050403,0.3487525434339071,0.7815834920754,0.4990055462312744,0.36132846989733425,0
jobs,0.3450746376011159,0.4615384615384615,0.6153846153846154,1.0,0.5,0.4999999999999999,0
products,0.05757804576597648,0.903225806451613,0.3582037407590393,0.999782,0.000218,0.05745268134083737,1
education,0.0010387811634349029,0.3711111111111111,0.32555555555555554,0.26551034022681785,0.4577777777777778,0.40222222222222226,1
housing,0.14447369870878504,0.5880436865299866,0.9994264351036553,0.02380713441436672,0.8675496688741722,0.8854961832061069,0
cities,0.2855350617604438,0.08818727244733966,0.08072122959953991,0.6890883255629341,0.0,0.0013959955530353785,0
