title,category,brand,price,stars,reviews,isBestSeller
Neutrogena Beauty Product,Beauty,Neutrogena,8.72,4.4,23,0
Meguiar's Automotive Product,Automotive,Meguiar's,220.31,4.7,2,0
Mattel Toys Product,Toys,Mattel,18.99,3.9,57,0
DeWalt Tools Product,Tools,DeWalt,1.77,4.6,6,0
H&M Clothing Product,Clothing,H&M,714.36,4.4,6,0
Nike Sports Product,Sports,Nike,16.11,4.0,322,0
Neutrogena Beauty Product,Beauty,Neutrogena,17.45,4.2,1909,0
Rain-X Automotive Product,Automotive,Rain-X,42.55,3.0,168,0
HarperCollins Books Product,Books,HarperCollins,2.43,3.6,2520,0
Rain-X Automotive Product,Automotive,Rain-X,28.82,4.0,84,0
Adidas Sports Product,Sports,Adidas,37.18,4.5,49,0
Samsung Electronics Product,Electronics,Samsung,66.59,4.7,411,0
Adidas Sports Product,Sports,Adidas,12.1,4.0,1100,0
Penguin Books Product,Books,Penguin,26.76,4.0,63,0
Armor All Automotive Product,Automotive,Armor All,2.85,4.8,8519,0
Adidas Sports Product,Sports,Adidas,12.99,3.7,5,0
Nestle Food Product,Food,Nestle,6.32,4.0,1588,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,17.44,3.3,481,0
CeraVe Beauty Product,Beauty,CeraVe,77.17,4.4,240,0
Reebok Sports Product,Sports,Reebok,17.54,4.5,1525,0
General Mills Food Product,Food,General Mills,78.96,4.0,48,0
Stanley Tools Product,Tools,Stanley,6.56,3.6,25,0
Nike Sports Product,Sports,Nike,21.95,3.7,3483,0
Bosch Automotive Product,Automotive,Bosch,14.95,4.1,44,0
Maybelline Beauty Product,Beauty,Maybelline,13.33,4.5,202892,0
HarperCollins Books Product,Books,HarperCollins,19.49,4.1,69,0
Wiley Books Product,Books,Wiley,49.79,4.2,41,0
Armor All Automotive Product,Automotive,Armor All,79.31,3.8,121,0
Hasbro Toys Product,Toys,Hasbro,61.25,4.5,22,0
H&M Clothing Product,Clothing,H&M,8.88,3.8,372,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,27.88,4.6,148,0
DeWalt Tools Product,Tools,DeWalt,42.38,3.3,342,0
Kellogg's Food Product,Food,Kellogg's,4.25,4.3,107793,0
Wilson Sports Product,Sports,Wilson,27.76,4.3,50,0
H&M Clothing Product,Clothing,H&M,44.73,4.4,261,0
Rain-X Automotive Product,Automotive,Rain-X,43.45,4.7,1,0
Nike Clothing Product,Clothing,Nike,310.73,4.5,274,0
LG Electronics Product,Electronics,LG,13.44,3.5,455,0
CeraVe Beauty Product,Beauty,CeraVe,88.81,5.0,13,0
Olay Beauty Product,Beauty,Olay,98.75,4.2,103,0
LG Electronics Product,Electronics,LG,91.85,4.4,38,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,32.66,4.3,50,0
Milwaukee Tools Product,Tools,Milwaukee,28.53,4.6,6917,0
LG Electronics Product,Electronics,LG,11.99,3.3,981,0
Penguin Books Product,Books,Penguin,123.42,4.0,2678,0
HarperCollins Books Product,Books,HarperCollins,11.87,3.6,62,0
Makita Tools Product,Tools,Makita,56.81,5.0,55,0
Penguin Books Product,Books,Penguin,13.74,4.3,0,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,27.16,3.8,6,0
HarperCollins Books Product,Books,HarperCollins,319.72,3.8,64,0
Mattel Toys Product,Toys,Mattel,20.18,4.6,5,0
Nike Sports Product,Sports,Nike,17.3,4.7,6565,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,21.13,3.4,349,0
Norton Books Product,Books,Norton,6.89,3.0,449,0
Campbell's Food Product,Food,Campbell's,28.14,3.7,329,0
Kellogg's Food Product,Food,Kellogg's,5.16,4.0,13,0
Nike Sports Product,Sports,Nike,422.67,4.8,97,0
Zara Clothing Product,Clothing,Zara,22.04,3.7,12,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,10.89,4.2,132,0
Bose Electronics Product,Electronics,Bose,3.02,3.4,230,0
Norton Books Product,Books,Norton,186.7,3.3,139,0
Wilson Sports Product,Sports,Wilson,25.97,4.2,200,0
Rain-X Automotive Product,Automotive,Rain-X,222.12,3.5,115,0
Reebok Sports Product,Sports,Reebok,56.1,4.1,1804,0
Wiley Books Product,Books,Wiley,46.39,3.8,9,0
Nestle Food Product,Food,Nestle,15.69,4.0,344,0
Rain-X Automotive Product,Automotive,Rain-X,56.73,4.2,169,0
Armor All Automotive Product,Automotive,Armor All,32.3,4.3,78,0
Meguiar's Automotive Product,Automotive,Meguiar's,82.88,3.5,438,0
Samsung Electronics Product,Electronics,Samsung,158.63,4.2,61,0
LG Electronics Product,Electronics,LG,23.92,3.8,4136,0
Adidas Clothing Product,Clothing,Adidas,12.41,5.0,54,0
Reebok Sports Product,Sports,Reebok,291.9,4.4,7481,0
General Mills Food Product,Food,General Mills,35.4,4.2,100,0
Black+Decker Tools Product,Tools,Black+Decker,4.96,4.2,196,0
Fisher-Price Toys Product,Toys,Fisher-Price,46.89,4.1,206,0
Zara Clothing Product,Clothing,Zara,195.18,3.7,42,0
Zara Clothing Product,Clothing,Zara,32.39,4.0,7,0
DeWalt Tools Product,Tools,DeWalt,8.8,4.7,89,0
DeWalt Tools Product,Tools,DeWalt,43.33,4.2,10,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,508.22,4.4,342,0
Under Armour Sports Product,Sports,Under Armour,28.99,4.8,235,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,6.53,3.9,47,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,49.9,5.0,58,0
