world_rank,university_name,teaching,international,research,citations,industry_income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
1,University #1,96.3,5.7,93.7,87.7,10.0,98.3,9523,10.8,29%,58 : 55
2,University #2,89.2,34.7,86.1,96.0,54.4,97.2,8242,6.0,43%,42 : 50
3,University #3,100.0,17.5,100.0,100.0,48.1,98.6,13115,7.4,32%,47 : 49
4,University #4,89.9,50.8,83.7,100.0,45.3,99.0,99570,18.8,45%,60 : 64
5,University #5,100.0,19.5,87.5,75.0,100.0,99.1,45083,8.6,22%,54 : 43
6,University #6,100.0,22.7,85.7,84.9,61.2,99.0,4667,28.5,15%,39 : 35
7,University #7,94.7,37.2,100.0,100.0,16.0,99.4,5417,14.0,27%,28 : 50
8,University #8,95.4,62.0,92.1,100.0,37.1,98.4,27649,10.4,24%,45 : 58
9,University #9,100.0,54.0,87.2,67.2,83.4,93.1,17282,13.4,1%,48 : 57
10,University #10,100.0,49.6,81.4,97.9,100.0,100.0,14876,12.4,5%,53 : 68
11,University #11,100.0,19.6,87.2,100.0,66.1,100.0,14534,5.0,10%,43 : 50
12,University #12,97.1,48.0,85.7,91.1,36.6,96.0,20077,10.5,18%,36 : 66
13,University #13,82.8,6.8,85.0,100.0,52.0,94.7,16781,17.1,34%,51 : 52
14,University #14,96.5,49.6,85.2,95.7,50.0,94.8,39585,8.8,10%,61 : 45
15,University #15,87.7,21.9,89.5,86.2,60.2,93.3,8723,15.4,53%,36 : 63
16,University #16,100.0,50.5,94.5,86.4,26.2,93.4,29543,13.5,17%,40 : 38
17,University #17,91.3,78.5,100.0,81.6,48.8,94.5,84545,21.9,8%,43 : 44
18,University #18,84.2,44.0,89.6,84.2,61.8,93.9,37803,8.4,24%,50 : 50
19,University #19,93.5,70.3,92.0,74.9,91.0,96.5,4833,8.5,38%,51 : 41
20,University #20,95.1,14.0,82.4,85.1,41.1,95.4,10261,6.7,1%,67 : 42
21,University #21,80.4,34.8,100.0,98.7,70.9,95.7,10096,5.5,53%,57 : 38
22,University #22,100.0,33.8,84.6,100.0,53.3,92.8,8603,15.6,23%,75 : 59
23,University #23,97.0,61.0,87.7,100.0,66.9,94.9,81380,14.2,6%,61 : 35
24,University #24,90.9,70.9,80.4,100.0,22.9,95.8,13294,16.6,7%,51 : 54
25,University #25,83.4,32.5,90.2,74.5,83.7,97.4,38271,7.5,39%,52 : 69
26,University #26,100.0,61.6,100.0,100.0,56.8,96.3,26152,14.1,22%,47 : 56
27,University #27,100.0,5.0,86.8,83.2,10.0,94.2,92206,28.0,40%,55 : 47
28,University #28,97.3,29.3,96.8,87.8,25.8,94.9,74306,16.6,19%,59 : 43
29,University #29,89.9,40.9,89.7,93.8,28.6,94.4,7997,14.8,22%,47 : 42
30,University #30,80.7,68.8,100.0,81.5,82.3,93.8,72107,14.9,20%,60 : 44
31,University #31,87.0,44.5,100.0,100.0,85.5,94.7,43641,11.0,35%,43 : 47
32,University #32,77.8,57.3,88.1,91.6,51.3,95.0,25190,15.5,24%,53 : 32
33,University #33,80.9,31.9,91.2,100.0,47.2,90.5,51111,29.0,27%,52 : 57
34,University #34,92.1,73.3,100.0,75.9,28.7,95.5,22164,8.9,23%,59 : 45
35,University #35,94.3,45.5,84.7,79.0,42.6,94.1,24943,13.7,31%,56 : 43
36,University #36,86.7,30.1,84.9,78.0,51.2,92.8,7135,19.4,24%,47 : 40
37,University #37,97.3,81.6,89.0,95.5,54.9,94.1,8481,24.5,33%,49 : 44
38,University #38,95.5,20.9,100.0,90.7,58.3,93.4,12456,16.3,14%,40 : 46
